segment,x,y
1,0.000,0.000
1,0.111,0.040
1,0.222,0.069
1,0.333,0.089
1,0.444,0.099
1,0.556,0.099
1,0.667,0.089
1,0.778,0.069
1,0.889,0.040
1,1.000,0.000
1,1.000,0.000
1,1.038,0.407
1,1.078,0.781
1,1.120,1.122
1,1.165,1.430
1,1.212,1.705
1,1.262,1.947
1,1.314,2.157
1,1.369,2.333
1,1.426,2.477
1,1.486,2.588
1,1.549,2.667
1,1.500,1.800
1,1.535,1.565
1,1.569,1.350
1,1.602,1.154
1,1.634,0.978
1,1.664,0.821
1,1.693,0.684
1,1.721,0.566
1,1.748,0.469
1,1.773,0.390
1,1.797,0.332
1,1.800,0.200
1,1.855,0.135
1,1.915,0.079
1,1.979,0.033
1,2.048,-0.004
1,2.121,-0.031
1,2.200,-0.049
1,2.283,-0.058
1,2.370,-0.058
1,2.463,-0.048
1,2.560,-0.029
1,2.661,0.000
1,2.800,0.000
1,2.845,-0.114
1,2.896,-0.211
1,2.952,-0.290
1,3.015,-0.352
1,3.083,-0.397
1,3.157,-0.424
1,3.236,-0.435
1,3.321,-0.428
1,3.411,-0.403
1,3.507,-0.362
1,3.609,-0.303
1,3.716,-0.227
1,3.829,-0.134
1,3.700,0.000
1,3.773,0.111
1,3.845,0.212
1,3.918,0.303
1,3.991,0.384
1,4.064,0.455
1,4.136,0.515
1,4.209,0.566
1,4.282,0.606
1,4.355,0.636
1,4.427,0.657
1,4.500,0.667
1,4.500,0.000
1,4.545,-0.104
1,4.596,-0.192
1,4.652,-0.264
1,4.715,-0.319
1,4.783,-0.358
1,4.857,-0.381
1,4.936,-0.388
1,5.021,-0.379
1,5.111,-0.354
1,5.207,-0.312
1,5.309,-0.255
1,5.416,-0.181
1,5.529,-0.091
1,5.400,0.000
1,5.478,0.049
1,5.556,0.086
1,5.633,0.111
1,5.711,0.123
1,5.789,0.123
1,5.867,0.111
1,5.944,0.086
1,6.022,0.049
1,6.100,0.100
1,6.155,0.175
1,6.209,0.240
1,6.264,0.294
1,6.318,0.339
1,6.373,0.373
1,6.427,0.397
1,6.482,0.410
1,6.536,0.414
1,6.591,0.407
1,6.645,0.389
1,6.700,0.361
1,6.800,0.200
1,6.743,0.149
1,6.695,0.103
1,6.658,0.063
1,6.632,0.029
1,6.616,0.000
1,6.611,-0.024
1,6.616,-0.042
1,6.632,-0.055
1,6.658,-0.063
1,6.695,-0.065
1,6.743,-0.063
1,6.800,-0.400
1,6.873,-0.422
1,6.945,-0.438
1,7.018,-0.449
1,7.091,-0.454
1,7.164,-0.454
1,7.236,-0.448
1,7.309,-0.437
1,7.382,-0.420
1,7.455,-0.398
1,7.527,-0.370
1,7.600,-0.337
1,7.800,0.000
1,7.909,0.086
1,8.018,0.160
1,8.127,0.221
1,8.236,0.269
1,8.345,0.304
1,8.455,0.327
1,8.564,0.336
1,8.673,0.332
1,8.782,0.316
1,8.891,0.286
1,9.000,0.244
1,8.800,0.100
1,8.745,0.055
1,8.695,0.012
1,8.650,-0.029
1,8.609,-0.067
1,8.573,-0.103
1,8.541,-0.136
1,8.514,-0.167
1,8.491,-0.195
1,8.473,-0.221
1,8.459,-0.245
1,8.450,-0.267
1,8.600,-0.600
1,8.673,-0.612
1,8.745,-0.611
1,8.818,-0.595
1,8.891,-0.565
1,8.964,-0.522
1,9.036,-0.465
1,9.109,-0.394
1,9.182,-0.310
1,9.255,-0.212
1,9.327,-0.100
1,9.400,0.025
1,9.600,0.100
1,9.654,0.194
1,9.708,0.312
1,9.762,0.454
1,9.815,0.620
1,9.869,0.810
1,9.923,1.024
1,9.977,1.262
1,10.031,1.524
1,10.085,1.810
1,10.138,2.120
1,10.192,2.454
1,10.246,2.812
1,10.300,3.194
1,10.300,1.800
1,10.357,1.821
1,10.414,1.823
1,10.471,1.807
1,10.529,1.772
1,10.586,1.719
1,10.643,1.647
1,10.700,1.556
1,10.700,1.500
1,10.683,1.279
1,10.662,1.066
1,10.638,0.860
1,10.610,0.662
1,10.579,0.472
1,10.545,0.289
1,10.507,0.114
1,10.466,-0.053
1,10.421,-0.213
1,10.373,-0.365
1,10.321,-0.509
1,10.300,0.000
1,10.211,-0.104
1,10.141,-0.199
1,10.089,-0.286
1,10.056,-0.364
1,10.041,-0.433
1,10.045,-0.494
1,10.067,-0.546
1,10.108,-0.589
1,10.167,-0.624
1,10.245,-0.650
1,10.341,-0.667
1,10.400,-0.700
1,10.482,-0.693
1,10.564,-0.676
1,10.645,-0.649
1,10.727,-0.613
1,10.809,-0.567
1,10.891,-0.512
1,10.973,-0.448
1,11.055,-0.373
1,11.136,-0.290
1,11.218,-0.197
1,11.300,-0.095
1,11.300,0.000
1,11.319,0.048
1,11.343,0.087
1,11.371,0.116
1,11.405,0.137
1,11.443,0.148
1,11.486,0.150
1,11.533,0.143
1,11.586,0.126
1,11.643,0.101
1,11.705,0.066
1,11.772,0.021
1,11.600,0.050
1,11.673,-0.056
1,11.745,-0.147
1,11.818,-0.224
1,11.891,-0.286
1,11.964,-0.333
1,12.036,-0.366
1,12.109,-0.384
1,12.182,-0.387
1,12.255,-0.376
1,12.327,-0.350
1,12.400,-0.309
1,12.600,-0.300
1,12.627,-0.171
1,12.645,-0.056
1,12.655,0.046
1,12.655,0.133
1,12.646,0.207
1,12.627,0.266
1,12.600,0.312
1,12.564,0.345
1,12.518,0.364
1,12.464,0.369
1,12.400,0.350
1,12.400,0.350
1,12.313,0.343
1,12.232,0.330
1,12.157,0.311
1,12.088,0.287
1,12.025,0.256
1,11.969,0.221
1,11.918,0.179
1,11.874,0.132
1,11.836,0.079
1,11.804,0.021
1,11.778,-0.044
1,12.200,-0.200
1,12.282,-0.277
1,12.364,-0.338
1,12.445,-0.382
1,12.527,-0.411
1,12.609,-0.424
1,12.691,-0.421
1,12.773,-0.401
1,12.855,-0.366
1,12.936,-0.314
1,13.018,-0.247
1,13.100,-0.164
1,13.200,0.000
1,13.278,0.049
1,13.356,0.086
1,13.433,0.111
1,13.511,0.123
1,13.589,0.123
1,13.667,0.111
1,13.744,0.086
1,13.822,0.049
1,13.900,0.000
1,13.931,-0.160
1,13.962,-0.314
1,13.992,-0.462
1,14.023,-0.604
1,14.054,-0.740
1,14.085,-0.870
1,14.115,-0.994
1,14.146,-1.112
1,14.177,-1.225
1,14.208,-1.331
1,14.238,-1.432
1,14.269,-1.527
1,14.300,-1.616
1,14.600,-1.600
1,14.655,-1.377
1,14.709,-1.172
1,14.764,-0.983
1,14.818,-0.812
1,14.873,-0.657
1,14.927,-0.519
1,14.982,-0.398
1,15.036,-0.293
1,15.091,-0.205
1,15.145,-0.134
1,15.200,-0.080
1,15.200,0.000
1,15.289,0.062
1,15.378,0.111
1,15.467,0.148
1,15.556,0.173
1,15.644,0.185
1,15.733,0.185
1,15.822,0.173
1,15.911,0.148
1,16.000,0.100
2,0.800,1.050
2,1.000,1.065
2,1.200,1.076
2,1.400,1.080
2,1.600,1.076
2,1.800,1.065
2,2.000,1.050
